NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS,Market_Category
RADIUS HEALTHCARE CENTER,29 MAIN ST,MILLBURY,MA,1527,2005.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,250.0,,,,Healthcare
MILLBURY PUBLIC SCHOOLS,12 MARTIN ST,MILLBURY,MA,1527,2014.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
MILLBURY HEALTH CARE CENTER,312 MILLBURY AVE,MILLBURY,MA,1527,3622.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,137.0,PREMIER,,,Healthcare
MILLVILLE SENIOR CENTER,PO BOX 703,MILLVILLE,MA,1529,703.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
SUPERVISORY UNION 3,44 BEARFOOT RD,NORTHBOROUGH,MA,1532,1559.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,,Government Services
BEAUMONT AT NORTHBOROUGH,238 W MAIN ST,NORTHBOROUGH,MA,1532,1804.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,>2000,93.0,,,,Healthcare
COLEMAN HOUSE,112 W MAIN ST,NORTHBOROUGH,MA,1532,1824.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,501 TO 1000,44.0,PREMIER,,,Healthcare
NORTHBORO TOWN-FAMILY-YOUTH SVCS-AODA,63 MAIN ST,NORTHBOROUGH,MA,1532,1943.0,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
NORTHBOROUGH SENIOR CENTER,1 CENTRE DR,NORTHBOROUGH,MA,1532,1989.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
BEAUMONT REHAB SKILLED NURSING HOME,PO BOX 940,NORTHBRIDGE,MA,1534,940.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,152.0,,,,Healthcare
VALLEY VIEW SCHOOL,PO BOX 338,NORTH BROOKFIELD,MA,1535,338.0,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
NORTH BROOKFIELD SENIOR CENTER,29 FOREST ST,NORTH BROOKFIELD,MA,1535,1938.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
GRAFTON JOB CORPS RESIDENTIAL PROGRAM,100 PINE ST,NORTH GRAFTON,MA,1536,1857.0,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
CLARA BARTON CAMP,PO BOX 356,NORTH OXFORD,MA,1537,356.0,25027,WORCESTER,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
OXFORD SENIOR CENTER,323 MAIN ST,OXFORD,MA,1540,1727.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
OXFORD PUBLIC SCHOOLS,5 SIGOURNEY ST,OXFORD,MA,1540,1928.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
COOLIDGE ELEMENTARY SCHOOL,15 MAY ST,SHREWSBURY,MA,1545,4212.0,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
MULBERRY CHILD CARE AND PRESCHOOL,177 MAIN ST,SHREWSBURY,MA,1545,2101.0,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,,Educational Instituions
SHREWSBURY CHILDRENS CENTER INC,138 N QUINSIGAMOND AVE,SHREWSBURY,MA,1545,2163.0,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
SHERWOOD MIDDLE SCHOOL,30 SHERWOOD AVE,SHREWSBURY,MA,1545,2742.0,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,,Educational Instituions
SHREWSBURY NURSING AND REHAB CENTER,40 JULIO DR,SHREWSBURY,MA,1545,3010.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,90.0,,,,Healthcare
FLORAL STREET SCHOOL,57 FLORAL ST,SHREWSBURY,MA,1545,3222.0,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,,Educational Instituions
SHREWSBURY PUBLIC SCHOOLS,100 MAPLE AVE,SHREWSBURY,MA,1545,5347.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,OVER 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
G B WELLS HUMAN SERVICE CENTER-AODA SVCS,29 PINE ST,SOUTHBRIDGE,MA,1550,1823.0,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
MARY E WELLS MIDDLE SCHOOL,82 MARCY ST,SOUTHBRIDGE,MA,1550,1882.0,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,,Educational Instituions
YOU INC FAMILY SERVICES-SBSTNC ABUSE SVC,52 CHARLTON ST,SOUTHBRIDGE,MA,1550,1910.0,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
RADIUS HEALTH CARE,84 CHAPIN ST,SOUTHBRIDGE,MA,1550,2408.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,141.0,,,,Healthcare
SOUTHBRIDGE PUBLIC SCHOOL DISTRICT,41 ELM ST,SOUTHBRIDGE,MA,1550,2645.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
HARRINGTON MEMORIAL HOSPITAL,100 SOUTH ST,SOUTHBRIDGE,MA,1550,4051.0,25027,WORCESTER,1122.0,HOSPITALS,501-750,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SELF-OPERATED,UNCODED,>2000,27.3,VHA Inc,MedAssets Supply Chain Systems,"9,971",Healthcare
ATLANTIC UNION COLLEGE,PO BOX 1000,SOUTH LANCASTER,MA,1561,1000.0,25027,WORCESTER,,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,,Educational Instituions
4-H CAMP MARSHALL,92 MCCORMICK RD,SPENCER,MA,1562,1221.0,25027,WORCESTER,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
ST JOSEPHS INSTITUTE OF THEOLOGY,167 N SPENCER RD,SPENCER,MA,1562,1232.0,25027,WORCESTER,1122.0,TECHNICAL AND TRADE SCHOOLS,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,RELIGIOUS,101 TO 250,,,,,Educational Instituions
SPENCER EAST BROOKFIELD REG SCHL DIST,306 MAIN ST,SPENCER,MA,1562,1841.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
STERLING SENIOR CENTER,PO BOX 243,STERLING,MA,1564,243.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
STERLING NURSERY SCHOOL,123 ROWLEY HILL RD,STERLING,MA,1564,2119.0,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
STERLING HEALTH CARE CENTER,18 DANA HILL RD,STERLING,MA,1564,2414.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,139.0,,,,Healthcare
STURBRIDGE COUNCIL ON AGING-SENIOR CTR,PO BOX 746,STURBRIDGE,MA,1566,746.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
UPTON SENIOR CENTER,PO BOX 610,UPTON,MA,1568,610.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
BLACKSTONE VALLEYVOC REG TECH SCH DIST,65 PLEASANT ST,UPTON,MA,1568,1431.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,UNCODED,1001 TO 2000,NOT APPLICABLE,1,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
LYDIA TAFT HOUSE,60 QUAKER HWY,UXBRIDGE,MA,1569,1628.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,48.0,,,,Healthcare
UXBRIDGE SENIOR CENTER,36 S MAIN ST,UXBRIDGE,MA,1569,1838.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
UXBRIDGE PUBLIC SCHOOL DISTRICT,21 S MAIN ST,UXBRIDGE,MA,1569,1851.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
COMMERCE INSURANCE CHILDCARE CENTER,58 BIGELOW RD,WEBSTER,MA,1570,2130.0,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
THE COLONIEL HEALTH GROUP-TCU,340 THOMPSON RD,WEBSTER,MA,1570,1509.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,13.0,,,,Healthcare
OAKWOOD REHAB AND NURSING CENTER,11 PONTIAC AVE,WEBSTER,MA,1570,1629.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,76.0,,,,Healthcare
WEBSTER MANOR,745 SCHOOL ST,WEBSTER,MA,1570,2924.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,135.0,PREMIER,,,Healthcare
LANESSA EXTENDED CARE,751 SCHOOL ST,WEBSTER,MA,1570,2924.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,95.0,,,,Healthcare
WEBSTER SENIOR CENTER,116 SCHOOL ST,WEBSTER,MA,1570,4310.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
NICHOLS COLLEGE,PO BOX 5000,DUDLEY,MA,1571,5000.0,25027,WORCESTER,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PRIVATE,1001 TO 2000,,,,,Educational Instituions
DUDLEY-CHARLTON REGIONAL SCHOOL DISTRICT,68 DUDLEY OXFORD RD,DUDLEY,MA,1571,6116.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
CHAUNCY HALL ACADEMY RESIDENTIAL TRTMNT,187 LYMAN ST,WESTBOROUGH,MA,1581,2630.0,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
WESTBOROUGH STATE HOSPITAL,PO BOX 288,WESTBOROUGH,MA,1581,288.0,25027,WORCESTER,1122.0,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,>2000,194.7,UHC (University HealthSystem Consortium),,"71,053",Healthcare
MULBERRY CHILD CARE AND PRESCHOOL,95 E MAIN ST,WESTBOROUGH,MA,1581,1414.0,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,,Educational Instituions
BEAUMONT REHABILITATION SKILLED NURSING,1 LYMAN ST,WESTBOROUGH,MA,1581,1437.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,147.0,,,,Healthcare
WESTBORO SENIOR CENTER,4 ROGERS RD,WESTBOROUGH,MA,1581,1450.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
NEXT GENERATION CHILDRENS CENTER,4600 COMPUTER DR,WESTBOROUGH,MA,1581,1721.0,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
J HARDING ARMSTRONG ELEMENTARY SCHOOL,50 WEST ST,WESTBOROUGH,MA,1581,2530.0,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,,Educational Instituions
WESTBORO AREA JEWISH COMM PRESCHOOL,45 OAK ST,WESTBOROUGH,MA,1581,2634.0,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
SPECTRUM HOUSE PRIMARY CARE-AODA PRGMS,PO BOX 1208,WESTBOROUGH,MA,1581,6208.0,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
WHITTIER REHABILITATION HOSPITAL,PO BOX 1250,WESTBOROUGH,MA,1581,6250.0,25027,WORCESTER,1122.0,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,,Healthcare
OAKDALE REHABILITATION,76 N MAIN ST,WEST BOYLSTON,MA,1583,1130.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,78.0,,,,Healthcare
WEST BOYLSTON COUNCIL ON AGING-SR CTR,120 PRESCOTT ST,WEST BOYLSTON,MA,1583,1106.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
WORCESTER CO HOUSE OF CORR-SHERIFFS DEPT,5 PAUL X TIVNAN DR,WEST BOYLSTON,MA,1583,2126.0,25027,WORCESTER,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Government Services
WEST BROOKFIELD SENIOR CENTER,PO BOX 207,WEST BROOKFIELD,MA,1585,207.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
QUABOAG ON THE COMMON,47 E MAIN ST,WEST BROOKFIELD,MA,1585,2906.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,128.0,,,,Healthcare
ST CAMILLUS HEALTH CENTER,447 HILL ST,WHITINSVILLE,MA,1588,1016.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,114.0,PREMIER,,,Healthcare
NORTHBRIDGE SENIOR CENTER,20 HIGHLAND ST,WHITINSVILLE,MA,1588,2102.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
SUTTON PUBLIC SCHOOLS,383 BOSTON RD,SUTTON,MA,1590,1823.0,25027,WORCESTER,1122.0,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
SUTTON SENIOR CENTER,19 HOUGH RD,SUTTON,MA,1590,2711.0,25027,WORCESTER,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
WORCESTER PUBLIC INEBRIATE PRGM-AODA SVC,PO BOX 17078,WORCESTER,MA,1601,7078.0,25027,WORCESTER,,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
GOLDEN LIVING CENTER-WORCHESTER,383 MILL ST,WORCESTER,MA,1602,2414.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,94.0,,,,Healthcare
WORCESTER STATE COLLEGE,486 CHANDLER ST,WORCESTER,MA,1602,2861.0,25027,WORCESTER,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,COMPASS,PUBLIC,>2000,,,,,Educational Instituions
G STANLEY HALL SCHOOL,4 MANN ST,WORCESTER,MA,1602,3414.0,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,101 TO 250,,,,,Educational Instituions
FAIRLAWN REHABILITATION HOSPITAL,189 MAY ST,WORCESTER,MA,1602,4339.0,25027,WORCESTER,1122.0,HOSPITALS,1-250,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SODEXO,UNCODED,>2000,73.6,Foodbuy,CHA Shared Services Program,"26,851",Healthcare
JEREMIAHS INN-SUBSTANCE ABUSE TREATMENT,PO BOX 30035,WORCESTER,MA,1603,35.0,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
HEARD STREET DISCOVERY ACADEMY,200 HEARD ST,WORCESTER,MA,1603,1742.0,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
HOME FOR AGED WOMEN WASHBURN HOUSE,1183 MAIN ST,WORCESTER,MA,1603,2012.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25.0,,,,Healthcare
SEVEN HILLS ADULT DAY HEALTH PROGRAM,81 HOPE AVE,WORCESTER,MA,1603,2212.0,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,251 TO 500,,,,,Healthcare
CANTERBURY STREET ELEMENTARY SCHOOL,129 CANTERBURY ST,WORCESTER,MA,1603,2834.0,25027,WORCESTER,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
COMM HEALTHLINK YOUTH-FAMILY SRVS AODA,275 BELMONT ST,WORCESTER,MA,1604,1675.0,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
WORCESTER STATE HOSPITAL,305 BELMONT ST,WORCESTER,MA,1604,1681.0,25027,WORCESTER,1122.0,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,>2000,120.4,UHC (University HealthSystem Consortium),MHA (Managed Healthcare Associates),"43,964",Healthcare
YOU INC-SUBSTANCE ABUSE TREATMENT PRGMS,81 PLANTATION ST,WORCESTER,MA,1604,3069.0,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
SAINT FRANCIS HOME,101 PLANTATION ST,WORCESTER,MA,1604,3025.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,129.0,,,,Healthcare
BLAIRE HOUSE OF WORCESTER,116 HOUGHTON ST,WORCESTER,MA,1604,3938.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,71.0,,,,Healthcare
RADIUS HEALTHCARE CENTER AT WORCESTER,119 PROVIDENCE ST,WORCESTER,MA,1604,4429.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,123.0,,,,Healthcare
GUILD OF ST AGNES-GRANITE STREET DAYCARE,133 GRANITE ST,WORCESTER,MA,1604,4500.0,25027,WORCESTER,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
SPECTRUM HEALTH SYS OTPTNT SVCS-AODA,585 LINCOLN ST,WORCESTER,MA,1605,1906.0,25027,WORCESTER,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
AUTUMN VILLAGE,25 ORIOL DR,WORCESTER,MA,1605,1911.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,142.0,,,,Healthcare
NOTRE DAME LONG TERM CARE CENTER,559 PLANTATION ST,WORCESTER,MA,1605,2350.0,25027,WORCESTER,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,121.0,,,,Healthcare
KEY PROGRAM,104 LINCOLN ST,WORCESTER,MA,1605,2407.0,25027,WORCESTER,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
